num_neurons,membrane_threshold,currents_period,external_current,number_of_external_current,leak_coefficient,simulation_duration,refractory_period,guessed_critical_weight,observed_critical_synaptic_mean_weight,theoretical_critical_synaptic_mean_weight,error
1000,150.0,1,5.5,10,0.0001,2000,1,0.5,0.18394580014886786,0.15013913913913915,0.18378599012518296
1000,160.0,1,5.5,10,0.0001,2000,1,0.5,0.19533115430205694,0.16014914914914916,0.18011466362658618
1000,170.0,1,5.5,10,0.0001,2000,1,0.5,0.20708520686745294,0.17015915915915916,0.1783133052663133
1000,180.0,1,5.5,10,0.0001,2000,1,0.5,0.21898771179608514,0.18016916916916917,0.1772635656518602
1000,190.0,1,5.5,10,0.0001,2000,1,0.5,0.23189984438916164,0.19017917917917918,0.17990812076600243
1000,200.0,1,5.5,10,0.0001,2000,1,0.5,0.2426116855111113,0.2001891891891892,0.17485759695601805
1000,10.0,1,6.0,10,0.0001,2000,1,0.5,0.010634597541971826,0.009997997997997998,0.059861178710463155
1000,20.0,1,6.0,10,0.0001,2000,1,0.5,0.021468282565222818,0.020008008008008008,0.06802009209532006
1000,30.0,1,6.0,10,0.0001,2000,1,0.5,0.03460371405662313,0.030018018018018018,0.13252034250142616
1000,40.0,1,6.0,10,0.0001,2000,1,0.5,0.042412482762579425,0.040028028028028025,0.056220588356011236
1000,50.0,1,6.0,10,0.0001,2000,1,0.5,0.05552902748166931,0.05003803803803804,0.09888502811333952
1000,60.0,1,6.0,10,0.0001,2000,1,0.5,0.07018877243973393,0.060048048048048044,0.1444778707362776
1000,70.0,1,6.0,10,0.0001,2000,1,0.5,0.08478424853378036,0.07005805805805806,0.17369016922824973
1000,80.0,1,6.0,10,0.0001,2000,1,0.5,0.09673391241568852,0.08006806806806807,0.17228543673498253
1000,90.0,1,6.0,10,0.0001,2000,1,0.5,0.10348686363404513,0.09007807807807808,0.1295699288306176
1000,100.0,1,6.0,10,0.0001,2000,1,0.5,0.12043945096536769,0.1000880880880881,0.1689758855105676
1000,110.0,1,6.0,10,0.0001,2000,1,0.5,0.1340844682590849,0.1100980980980981,0.17888999727126562
1000,120.0,1,6.0,10,0.0001,2000,1,0.5,0.13756897280807368,0.12010810810810811,0.12692443901813313
1000,130.0,1,6.0,10,0.0001,2000,1,0.5,0.1585219838801013,0.13011811811811813,0.17917934829447088
1000,140.0,1,6.0,10,0.0001,2000,1,0.5,0.16309606759895717,0.14012812812812814,0.14082460606779149
1000,150.0,1,6.0,10,0.0001,2000,1,0.5,0.18450722866495936,0.15013813813813814,0.18627503526829794
1000,160.0,1,6.0,10,0.0001,2000,1,0.5,0.18562385692051342,0.16014814814814815,0.13724372068873833
1000,170.0,1,6.0,10,0.0001,2000,1,0.5,0.20423038282458822,0.17015815815815816,0.16683230083201878
1000,180.0,1,6.0,10,0.0001,2000,1,0.5,0.18753586510198303,0.18016816816816816,0.03928686883337367
1000,190.0,1,6.0,10,0.0001,2000,1,0.5,0.19260152295173624,0.19017817817817817,0.012582168284127927
1000,200.0,1,6.0,10,0.0001,2000,1,0.5,0.22448643637000698,0.2001881881881882,0.10823927082066326
